,,,,,,,,https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BCH,Volume USD
1684368000,2023-05-18 00:00:00,BCH/USD,117.66,117.66,117.66,117.66,0.00000000,0.0
1684281600,2023-05-17 00:00:00,BCH/USD,116.47,118.41,115.46,117.66,857.10018408,100846.4076588528
1684195200,2023-05-16 00:00:00,BCH/USD,116.28,117.51,114.17,116.96,926.71065387,108388.0780766352
1684108800,2023-05-15 00:00:00,BCH/USD,115.30,120.66,114.67,116.22,6281.40315597,730024.6747868333
1684022400,2023-05-14 00:00:00,BCH/USD,113.82,115.91,113.44,115.55,504.20851174,58261.293531557
1683936000,2023-05-13 00:00:00,BCH/USD,114.32,114.70,112.68,113.18,310.09203718,35096.2167680324
1683849600,2023-05-12 00:00:00,BCH/USD,113.20,115.35,112.44,115.05,2684.36936361,308836.6952833305
1683763200,2023-05-11 00:00:00,BCH/USD,115.59,115.59,110.40,113.30,911.85705306,103313.404111698
1683676800,2023-05-10 00:00:00,BCH/USD,123.06,123.12,111.80,116.42,3156.59919017,367491.2777195914
1683590400,2023-05-09 00:00:00,BCH/USD,111.32,123.86,110.47,121.59,8917.12754267,1084233.5379132451
1683504000,2023-05-08 00:00:00,BCH/USD,116.46,116.46,107.52,111.56,2403.52517700,268137.26874612
1683417600,2023-05-07 00:00:00,BCH/USD,117.03,117.65,116.70,116.99,434.09004100,50784.19389659
1683331200,2023-05-06 00:00:00,BCH/USD,120.21,120.61,115.53,117.37,1007.22130049,118217.56403851131
1683244800,2023-05-05 00:00:00,BCH/USD,117.30,120.74,117.18,120.13,2325.98412524,279420.4729650812
1683158400,2023-05-04 00:00:00,BCH/USD,120.09,120.11,116.61,117.32,1374.38728175,161243.11589491
1683072000,2023-05-03 00:00:00,BCH/USD,118.99,120.70,116.06,120.13,1749.62755813,210182.75855815687
1682985600,2023-05-02 00:00:00,BCH/USD,116.98,119.64,116.51,119.20,388.21891633,46275.694826536004
1682899200,2023-05-01 00:00:00,BCH/USD,117.54,118.25,115.23,116.70,698.00879019,81457.625815173
1682812800,2023-04-30 00:00:00,BCH/USD,118.89,120.90,117.72,117.72,164.14826855,19323.534173706
1682726400,2023-04-29 00:00:00,BCH/USD,118.12,120.34,118.12,119.53,779.69857743,93197.3709602079
1682640000,2023-04-28 00:00:00,BCH/USD,117.24,120.36,115.60,117.85,1126.93895093,132809.75536710047
1682553600,2023-04-27 00:00:00,BCH/USD,117.49,120.44,116.83,117.01,420.70097906,49226.221559810605
1682467200,2023-04-26 00:00:00,BCH/USD,119.91,123.39,111.87,117.64,1292.65897197,152068.4014625508
1682380800,2023-04-25 00:00:00,BCH/USD,119.20,120.23,117.01,120.23,503.24049146,60504.6042882358
1682294400,2023-04-24 00:00:00,BCH/USD,120.74,121.12,119.06,119.06,505.15784413,60144.0929221178
1682208000,2023-04-23 00:00:00,BCH/USD,121.21,122.18,118.79,119.92,319.86775181,38358.540797055204
1682121600,2023-04-22 00:00:00,BCH/USD,119.59,122.65,119.33,122.36,179.15208051,21921.0485712036
1682035200,2023-04-21 00:00:00,BCH/USD,123.05,124.92,118.48,119.76,675.30590381,80874.6350402856
1681948800,2023-04-20 00:00:00,BCH/USD,125.48,126.52,121.46,123.04,395.76135398,48694.47699369921
1681862400,2023-04-19 00:00:00,BCH/USD,133.58,133.65,122.77,125.16,1285.38880962,160879.2634120392
1681776000,2023-04-18 00:00:00,BCH/USD,131.71,133.96,130.45,133.61,184.29358504,24623.465897194405
1681689600,2023-04-17 00:00:00,BCH/USD,133.10,133.73,130.27,131.91,646.45117179,85273.3740708189
1681603200,2023-04-16 00:00:00,BCH/USD,132.99,135.99,131.96,134.72,433.12893065,58351.129537167995
1681516800,2023-04-15 00:00:00,BCH/USD,132.19,133.59,131.06,132.58,372.84569425,49431.882143665
1681430400,2023-04-14 00:00:00,BCH/USD,131.37,134.18,129.23,132.28,2274.04929924,300811.2413034672
1681344000,2023-04-13 00:00:00,BCH/USD,128.73,131.86,128.43,130.95,446.15610448,58424.141881655996
1681257600,2023-04-12 00:00:00,BCH/USD,129.20,129.79,126.09,129.12,652.71571433,84278.6530342896
1681171200,2023-04-11 00:00:00,BCH/USD,128.43,130.57,127.78,128.96,405.07851832,52238.9257225472
1681084800,2023-04-10 00:00:00,BCH/USD,126.06,128.64,124.06,128.14,288.52548101,36971.6551366214
1680998400,2023-04-09 00:00:00,BCH/USD,124.03,126.26,123.65,126.26,225.46808891,28467.600905776602
1680912000,2023-04-08 00:00:00,BCH/USD,124.52,125.19,123.08,123.83,110.34311280,13663.787658023999
1680825600,2023-04-07 00:00:00,BCH/USD,125.84,126.62,123.39,124.87,285.53249184,35654.4422560608
1680739200,2023-04-06 00:00:00,BCH/USD,126.57,127.56,125.19,126.17,936.51881969,118160.5794802873
1680652800,2023-04-05 00:00:00,BCH/USD,126.31,129.75,125.33,127.34,399.40435737,50860.1508674958
1680566400,2023-04-04 00:00:00,BCH/USD,128.24,128.24,126.42,126.79,727.35898253,92221.8453949787
1680480000,2023-04-03 00:00:00,BCH/USD,123.10,129.60,120.11,127.76,2020.39793274,258126.03988686242
1680393600,2023-04-02 00:00:00,BCH/USD,126.45,126.45,121.61,122.51,447.89544503,54871.6709706253
1680307200,2023-04-01 00:00:00,BCH/USD,124.02,127.54,123.79,126.04,363.99416020,45877.82395160801
1680220800,2023-03-31 00:00:00,BCH/USD,120.79,124.37,120.58,124.31,1055.44594560,131202.485497536
1680134400,2023-03-30 00:00:00,BCH/USD,123.05,125.01,119.12,121.25,675.40249887,81892.55298798751
1680048000,2023-03-29 00:00:00,BCH/USD,121.20,124.73,120.53,123.52,736.89136428,91020.82131586559
1679961600,2023-03-28 00:00:00,BCH/USD,120.85,121.93,119.34,121.02,897.25581358,108585.8985594516
1679875200,2023-03-27 00:00:00,BCH/USD,123.89,124.21,116.73,120.32,1241.25523771,149347.8302012672
1679788800,2023-03-26 00:00:00,BCH/USD,125.21,126.60,123.67,125.25,176.33342370,22085.761318425
1679702400,2023-03-25 00:00:00,BCH/USD,125.65,127.40,124.01,125.09,499.54745509,62488.391157208105
1679616000,2023-03-24 00:00:00,BCH/USD,128.83,131.83,122.14,124.01,743.55445582,92208.1880662382
1679529600,2023-03-23 00:00:00,BCH/USD,126.04,131.42,124.76,129.02,2007.64663836,259026.56928120722
1679443200,2023-03-22 00:00:00,BCH/USD,132.33,133.99,123.78,126.21,1859.87749016,234735.1380330936
1679356800,2023-03-21 00:00:00,BCH/USD,130.38,134.69,126.57,134.59,1292.09437065,173902.9813457835
1679270400,2023-03-20 00:00:00,BCH/USD,135.95,139.82,130.47,131.07,1910.94385752,250467.41140514638
1679184000,2023-03-19 00:00:00,BCH/USD,133.24,137.31,132.93,136.17,680.53279435,92668.1506066395
1679097600,2023-03-18 00:00:00,BCH/USD,135.26,138.19,130.93,131.98,1422.50699872,187742.4736910656
1679011200,2023-03-17 00:00:00,BCH/USD,126.22,135.82,125.86,135.30,1572.94791761,212819.85325263304
1678924800,2023-03-16 00:00:00,BCH/USD,124.26,126.78,122.64,126.14,472.13200177,59554.7307032678
1678838400,2023-03-15 00:00:00,BCH/USD,131.65,133.97,122.36,123.59,1916.47554819,236857.2130008021
1678752000,2023-03-14 00:00:00,BCH/USD,127.08,136.45,126.24,131.38,2224.80440066,292294.8021587108
1678665600,2023-03-13 00:00:00,BCH/USD,121.36,128.66,119.86,126.96,4355.29053535,552947.686368036
1678579200,2023-03-12 00:00:00,BCH/USD,113.90,121.50,113.03,120.93,2266.88229298,274134.0756900714
1678492800,2023-03-11 00:00:00,BCH/USD,112.00,116.17,108.13,114.19,3593.70193301,410364.82373041194
1678406400,2023-03-10 00:00:00,BCH/USD,110.25,112.49,105.50,112.11,4712.73295835,528344.4919606185
1678320000,2023-03-09 00:00:00,BCH/USD,116.61,117.96,106.23,110.09,1986.44703128,218687.9536736152
1678233600,2023-03-08 00:00:00,BCH/USD,122.43,122.43,114.63,116.50,1978.13435622,230452.65249963
1678147200,2023-03-07 00:00:00,BCH/USD,124.05,125.67,120.20,122.12,2809.89204192,343144.0161592704
1678060800,2023-03-06 00:00:00,BCH/USD,123.96,124.91,122.28,124.35,2061.17183545,256306.7177382075
1677974400,2023-03-05 00:00:00,BCH/USD,124.32,126.31,123.42,124.19,934.81583862,116094.77899821781
1677888000,2023-03-04 00:00:00,BCH/USD,126.23,126.78,122.47,124.42,1914.52906599,238205.7063904758
1677801600,2023-03-03 00:00:00,BCH/USD,131.59,131.69,120.16,126.26,4036.56362483,509656.52327103587
1677715200,2023-03-02 00:00:00,BCH/USD,134.25,134.76,130.00,131.70,1963.31115586,258568.079226762
1677628800,2023-03-01 00:00:00,BCH/USD,132.40,135.70,131.90,134.21,2263.72361534,303814.3464147814
1677542400,2023-02-28 00:00:00,BCH/USD,134.92,135.01,130.93,132.05,1648.07063911,217627.7278944755
1677456000,2023-02-27 00:00:00,BCH/USD,135.75,138.20,133.55,135.21,2251.67843167,304449.44074610074
1677369600,2023-02-26 00:00:00,BCH/USD,133.16,137.34,132.50,136.14,1004.17202994,136707.98015603158
1677283200,2023-02-25 00:00:00,BCH/USD,132.70,135.04,129.72,133.04,1777.58075761,236489.34399243438
1677196800,2023-02-24 00:00:00,BCH/USD,138.94,139.40,130.79,132.85,2014.30442063,267600.3422806955
1677110400,2023-02-23 00:00:00,BCH/USD,141.16,143.64,137.70,138.94,1322.47009379,183743.9948311826
1677024000,2023-02-22 00:00:00,BCH/USD,145.35,145.35,136.92,141.87,3254.60724949,461731.1304851463
1676937600,2023-02-21 00:00:00,BCH/USD,145.62,154.19,142.83,145.19,5691.19874564,826305.1458794716
1676851200,2023-02-20 00:00:00,BCH/USD,136.66,148.86,133.41,145.09,3299.59892505,478738.80803550454
1676764800,2023-02-19 00:00:00,BCH/USD,136.12,141.00,135.14,135.85,1944.88780301,264213.0080389085
1676678400,2023-02-18 00:00:00,BCH/USD,133.72,138.67,133.30,136.38,2107.63972104,287439.9051554352
